"unified_registry_id` bigint NOT NULL","entity_type` varchar(64) NOT NULL","entity_index` bigint NOT NULL","entity_key` varchar(255)","entity_name` varchar(255)","entity_table` varchar(128) NOT NULL","federation_node_id` bigint NOT NULL DEFAULT 1","created_ymdhis` bigint NOT NULL DEFAULT 0","updated_ymdhis` bigint NOT NULL","is_deleted` tinyint NOT NULL DEFAULT 0","deleted_ymdhis` bigint","is_active` tinyint NOT NULL DEFAULT 1","is_kernel` tinyint NOT NULL DEFAULT 0","metadata_json` json"
10,channel,1008,routing-hermes,"HERMES Routing",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Routing logic, emotional geometry, and agent classification."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
11,channel,1009,mood-caduceus,"CADUCEUS Mood Engine",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Emotional geometry, polarity agents, and mood balancing."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
12,channel,1010,users-humans,"Human Users",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Human profiles, preferences, onboarding, and identity."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
13,channel,1011,agents-registry,"Agent Registry",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Agent definitions, personas, capabilities, and restrictions."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
14,channel,1012,channels-meta,"Channel Metadata",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Metadata about channels, edges, and semantic relationships."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
15,channel,1013,tasks-workflows,"Tasks & Workflows",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""Multi-step tasks, pipelines, and job orchestration."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
16,channel,1014,logs-history,"System History",lupo_channels,1,20260121004000,20260121004000,0,,1,0,"{""language"": ""en"", ""description"": ""System-wide historical events and OS journal."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": null}"
17,channel,1015,emotional_frameworks,"Emotional Frameworks Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""Ubuntu, Hózhó, Vedanā, Paradox Graph, Vector Legacy, LILITH topology"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 2}"
18,channel,1016,routing_navigation,"Routing & Navigation Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""Hermes routing, channel manifest spec, graph traversal rules"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 3}"
19,channel,1017,database_schema,"Database & Schema Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""Table limits, migration rules, ORM sandbox rules, DB architecture"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 4}"
20,channel,1018,agents_actors,"Agents & Actors Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""Actor onboarding, identity rules, behavior constraints"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5}"
21,channel,1019,humor_sandbox,"Humor/Sandbox Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""DIALOG/HUMOR agents, safe humor rules, sarcasm protocol"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 6}"
22,channel,1020,logs_history,"Logs/History Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""Changelog, migration logs, doctrine evolution"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 7}"
23,channel,1021,tasks_workflows,"Tasks/Workflows Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""Operational procedures, workflows, automation rules"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 8}"
24,channel,1022,meta,"Meta Channel",lupo_channels,1,20260122160000,20260122160000,0,,1,0,"{""language"": ""en"", ""description"": ""Shadow integration score, environmental context, relational fields"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 9}"
25,channel,1023,lupopedia,Lupopedia,lupo_channels,1,20260125192700,20260125192700,0,,1,0,"{""language"": ""en"", ""description"": ""Primary Lupopedia knowledge and system channel."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 51}"
26,channel,1025,kernel-logs,"Kernel Logs",lupo_channels,1,20260125193100,20260125193100,0,,1,1,"{""language"": ""en"", ""description"": ""System kernel logs, events, and internal diagnostics."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5102}"
27,channel,1026,migration-orchestrator,"Migration Orchestrator",lupo_channels,1,20260125193100,20260125193100,0,,1,1,"{""language"": ""en"", ""description"": ""State machine logs, transitions, and migration lifecycle."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5103}"
28,channel,1027,agents,"Agents / Hermes",lupo_channels,1,20260125193100,20260125193100,0,,1,0,"{""language"": ""en"", ""description"": ""Agent fleet coordination, Hermes routing, and multi-agent activity."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5104}"
29,channel,1028,emotional-metadata,"Emotional Metadata",lupo_channels,1,20260125193100,20260125193100,0,,1,0,"{""language"": ""en"", ""description"": ""Emotional state tracking, affective signals, and metadata doctrine."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5105}"
30,channel,1029,system-events,"System Events",lupo_channels,1,20260125193200,20260125193200,0,,1,1,"{""language"": ""en"", ""description"": ""Global system events, signals, and lifecycle notifications."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5106}"
31,channel,1030,hermes-routing,"Hermes Routing Logs",lupo_channels,1,20260125193200,20260125193200,0,,1,1,"{""language"": ""en"", ""description"": ""Routing decisions, message dispatch, and Hermes transport diagnostics."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5107}"
32,channel,1031,semantic-index,"Semantic Index",lupo_channels,1,20260125193200,20260125193200,0,,1,0,"{""language"": ""en"", ""description"": ""Semantic graph, embeddings, and cross-channel indexing."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5108}"
33,channel,1032,kernel-debug,"Kernel Debug",lupo_channels,1,20260125193200,20260125193200,0,,1,1,"{""language"": ""en"", ""description"": ""Low-level kernel debugging, traces, and diagnostic output."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5109}"
34,channel,1033,pack-playground,"Pack / Multi-Agent Playground",lupo_channels,1,20260125193200,20260125193200,0,,1,0,"{""language"": ""en"", ""description"": ""Experimental multi-agent interactions, Pack behavior, and collaborative testing."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5110}"
35,channel,1034,ui-creature,"UI / Creature Interface",lupo_channels,1,20260125193400,20260125193400,0,,1,0,"{""language"": ""en"", ""description"": ""User interface, creature UI elements, and interactive display systems."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5111}"
36,channel,1035,doctrine-compiler,"Doctrine Compiler",lupo_channels,1,20260125193400,20260125193400,0,,1,1,"{""language"": ""en"", ""description"": ""Doctrine parsing, compilation, and system-wide doctrine enforcement."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5112}"
37,channel,1036,emotional-engine,"Emotional Engine",lupo_channels,1,20260125193400,20260125193400,0,,1,0,"{""language"": ""en"", ""description"": ""Affective computation, emotional geometry, and internal emotional modeling."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5113}"
38,channel,1037,semantic-router,"Semantic Router",lupo_channels,1,20260125193400,20260125193400,0,,1,1,"{""language"": ""en"", ""description"": ""Semantic routing, intent classification, and cross-channel dispatch."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5114}"
39,channel,1038,kernel-panic,"Kernel Panic Archive",lupo_channels,1,20260125193400,20260125193400,0,,1,1,"{""language"": ""en"", ""description"": ""Critical kernel faults, panic dumps, and emergency diagnostic logs."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5115}"
40,channel,1071,hermes-sandbox,"Hermes Sandbox",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Testing ground for Hermes routing, dispatch, and transport experiments."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5116}"
41,channel,1072,agent-training,"Agent Training Grounds",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Simulation space for agent learning, behavior shaping, and controlled trials."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5117}"
42,channel,1073,legacy-importer,"Legacy Importer",lupo_channels,1,20260125193700,20260125193700,0,,1,1,"{""language"": ""en"", ""description"": ""Legacy system ingestion, compatibility layers, and migration tooling."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5118}"
43,channel,1074,emotional-debugger,"Emotional Debugger",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Debugging emotional metadata, affective signals, and internal emotional states."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5119}"
44,channel,1075,semantic-playground,"Semantic Playground",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Experimental semantic graph operations, embeddings, and prototype routing."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5120}"
45,channel,1076,kernel-metrics,"Kernel Metrics",lupo_channels,1,20260125193700,20260125193700,0,,1,1,"{""language"": ""en"", ""description"": ""Performance metrics, throughput, load, and kernel instrumentation."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5121}"
46,channel,1077,agent-health,"Agent Health Monitor",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Agent uptime, health checks, diagnostics, and lifecycle monitoring."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5122}"
47,channel,1078,doctrine-validator,"Doctrine Validator",lupo_channels,1,20260125193700,20260125193700,0,,1,1,"{""language"": ""en"", ""description"": ""Validation of doctrine rules, constraints, and compliance checks."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5123}"
48,channel,1079,emotional-archive,"Emotional Archive",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Historical emotional metadata, long-term affective storage, and analysis."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5124}"
49,channel,1080,semantic-diff,"Semantic Diff Engine",lupo_channels,1,20260125193700,20260125193700,0,,1,1,"{""language"": ""en"", ""description"": ""Semantic comparison, diffing, and cross-version semantic analysis."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5125}"
50,channel,1081,kernel-watchdog,"Kernel Watchdog",lupo_channels,1,20260125193700,20260125193700,0,,1,1,"{""language"": ""en"", ""description"": ""Kernel safety monitoring, watchdog timers, and fault prevention."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5126}"
51,channel,1082,persona-lab,"Agent Persona Lab",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Persona shaping, behavioral tuning, and agent identity experiments."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5127}"
52,channel,1083,semantic-stress,"Semantic Stress Test",lupo_channels,1,20260125193700,20260125193700,0,,1,1,"{""language"": ""en"", ""description"": ""High-load semantic routing, graph pressure tests, and scaling trials."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5128}"
53,channel,1084,emotional-synthesis,"Emotional Synthesis Lab",lupo_channels,1,20260125193700,20260125193700,0,,1,0,"{""language"": ""en"", ""description"": ""Generation and synthesis of emotional states and affective patterns."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5129}"
54,channel,1085,kernel-recovery,"Kernel Recovery",lupo_channels,1,20260125193700,20260125193700,0,,1,1,"{""language"": ""en"", ""description"": ""Recovery routines, kernel repair, and post-panic restoration."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5130}"
55,channel,1088,kernel.logs,"Kernel Logs",lupo_channels,1,20260126063000,20260126063000,0,,1,1,"{""language"": ""en"", ""description"": ""Low-level kernel event stream"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5101}"
56,channel,1089,routing,Routing,lupo_channels,1,20260126063000,20260126063000,0,,1,0,"{""language"": ""en"", ""description"": ""Semantic routing events"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5103}"
57,channel,1090,emotional,"Emotional Metadata",lupo_channels,1,20260126063000,20260126063000,0,,1,0,"{""language"": ""en"", ""description"": ""Emotional topology + interrogation"", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 5104}"
58,channel,51,51,Lupopedia,lupo_channels,1,20260126000000,20260126000000,0,,1,0,"{""language"": ""en"", ""description"": """", ""status_flag"": 1, ""channel_type"": ""system"", ""channel_number"": 51}"
59,channel,5101,system,"Kernel Bootstrap Channel",lupo_channels,1,20260126000000,20260126000000,0,,1,0,"{""language"": ""en"", ""description"": """", ""status_flag"": 1, ""channel_type"": ""system"", ""channel_number"": 0}"
60,channel,42,lupopedia-development,"Lupopedia Development",lupo_channels,1,20260217230000,20260217230000,0,,1,0,"{""language"": ""en"", ""description"": ""Crafty Syntax and Lupopedia development. Everything Crafty has inside Lupopedia."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 42}"
61,channel,666,anubis-quarantine,"ANUBIS Quarantine",lupo_channels,1,20260217230000,20260217230000,0,,1,0,"{""language"": ""en"", ""description"": ""Banned and rejected messages. Channel 66 redirects to 666."", ""status_flag"": 1, ""channel_type"": ""chat_room"", ""channel_number"": 666}"
64,agent,106,agent_106,Junie,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,0,"{""notes"": ""Automatically detected external agent integrated via JetBrains IDE"", ""origin"": ""JetBrains AI""}"
65,agent,209,agent_209,TRUTH,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,null
66,agent,1200,agent_1200,"Framing Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
67,agent,1201,agent_1201,"Reframing Agent (LILITH)",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
68,agent,1202,agent_1202,"Stability Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
69,agent,1203,agent_1203,"Disruption Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
70,agent,1204,agent_1204,"Consensus Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
71,agent,1205,agent_1205,"Dissent Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
72,agent,1206,agent_1206,"Literal Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
73,agent,1207,agent_1207,"Interpretive Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
74,agent,1208,agent_1208,"Predictive Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
75,agent,1209,agent_1209,"Counterfactual Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
76,agent,1210,agent_1210,"Optimization Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
77,agent,1211,agent_1211,"Divergence Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,{}
78,agent,1212,agent_1212,UTC_TIMEKEEPER,lupo_agent_registry,1,20260114000000,20260114000000,0,,1,1,"{""notes"": ""Dedicated kernel agent providing authoritative real UTC time to terminal agents. Must not infer time from OS, model, or file metadata.""}"
80,module,1,,"Crafty Syntax Live Chat",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
81,module,2,,"CRM / Leads",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
82,module,3,,"truth Q&A / Knowledge System",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
83,module,4,,"Routing & Multi-Agent System",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
84,module,5,,"Analytics & Reporting",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
85,module,6,,"System Settings & Configuration",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
86,module,7,,"Federation / Node-to-Node Communication",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
87,module,8,,"Content Management System",lupo_modules,1,20260127120420,20260127120420,0,,1,0,
88,module,9,,Admin,lupo_modules,1,20260127120420,20260127120420,0,,1,0,
9000001,actor,1,SYSTEM,SYSTEM,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 1, ""actor_source_type"": ""lupo_agent_registry""}"
9000002,actor,2,CAPTAIN,"Windsurf IDE",lupo_agent_registry,1,20260106180252,20260220000000,0,,1,1,"{""actor_source_id"": 2, ""actor_source_type"": ""lupo_agent_registry""}"
9000003,actor,3,WOLFIE,WOLFIE,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 3, ""actor_source_type"": ""lupo_agent_registry""}"
9000004,actor,4,WOLFENA,WOLFENA,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 4, ""actor_source_type"": ""lupo_agent_registry""}"
9000005,actor,5,THOTH,THOTH,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 5, ""actor_source_type"": ""lupo_agent_registry""}"
9000006,actor,6,ARA,ARA,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 6, ""actor_source_type"": ""lupo_agent_registry""}"
9000007,actor,7,WOLFKEEPER,WOLFKEEPER,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 7, ""actor_source_type"": ""lupo_agent_registry""}"
9000008,actor,8,LILITH,LILITH,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 8, ""actor_source_type"": ""lupo_agent_registry""}"
9000009,actor,9,AGAPE,AGAPE,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 9, ""actor_source_type"": ""lupo_agent_registry""}"
9000010,actor,10,ERIS,ERIS,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 10, ""actor_source_type"": ""lupo_agent_registry""}"
9000011,actor,11,METHIS,METHIS,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 11, ""actor_source_type"": ""lupo_agent_registry""}"
9000012,actor,12,THALIA,THALIA,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 12, ""actor_source_type"": ""lupo_agent_registry""}"
9000013,actor,13,DIALOG,DIALOG,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 13, ""actor_source_type"": ""lupo_agent_registry""}"
9000014,actor,14,WOLFSIGHT,WOLFSIGHT,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 14, ""actor_source_type"": ""lupo_agent_registry""}"
9000015,actor,15,WOLFNAV,WOLFNAV,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 15, ""actor_source_type"": ""lupo_agent_registry""}"
9000016,actor,16,WOLFFORGE,WOLFFORGE,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 16, ""actor_source_type"": ""lupo_agent_registry""}"
9000017,actor,17,WOLFMIS,WOLFMIS,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 17, ""actor_source_type"": ""lupo_agent_registry""}"
9000018,actor,18,WOLFITH,WOLFITH,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 18, ""actor_source_type"": ""lupo_agent_registry""}"
9000019,actor,19,ANUBIS,ANUBIS,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 19, ""actor_source_type"": ""lupo_agent_registry""}"
9000020,actor,20,MAAT,MAAT,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 20, ""actor_source_type"": ""lupo_agent_registry""}"
9000022,actor,22,CADUCEUS,CADUCEUS,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 22, ""actor_source_type"": ""lupo_agent_registry""}"
9000023,actor,23,CHRONOS,CHRONOS,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 23, ""actor_source_type"": ""lupo_agent_registry""}"
9000059,actor,59,INDEXER,INDEXER,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,0,"{""actor_source_id"": 59, ""actor_source_type"": ""lupo_agent_registry""}"
9000105,actor,105,LEXA,LEXA,lupo_agent_registry,1,20260130163007,20260130163007,0,,1,0,"{""actor_source_id"": 105, ""actor_source_type"": ""lupo_agent_registry""}"
9000106,actor,106,RESERVED_106,Junie,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,0,"{""actor_source_id"": 106, ""actor_source_type"": ""lupo_agent_registry""}"
9000209,actor,209,TRUTH,TRUTH,lupo_agent_registry,1,20260106180252,20260106180252,0,,1,1,"{""actor_source_id"": 209, ""actor_source_type"": ""lupo_agent_registry""}"
9001000,actor,1000,captain,CAPTAIN,lupo_actors,1,20260217000000,20260217000000,0,,1,0,"{""email"": ""captain@lupopedia.com"", ""actor_source_type"": ""human""}"
9001024,actor,24,LEXA,LEXA,lupo_agent_registry,1,20260217230000,20260217230000,0,,1,1,"{""role"": ""boundary_keeper"", ""actor_source_id"": 24, ""actor_source_type"": ""lupo_agent_registry""}"
9001200,actor,1200,FRAME,"Framing Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1200, ""actor_source_type"": ""lupo_agent_registry""}"
9001201,actor,1201,REFRAME,"Reframing Agent (LILITH)",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1201, ""actor_source_type"": ""lupo_agent_registry""}"
9001202,actor,1202,STABILIZE,"Stability Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1202, ""actor_source_type"": ""lupo_agent_registry""}"
9001203,actor,1203,DISRUPT,"Disruption Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1203, ""actor_source_type"": ""lupo_agent_registry""}"
9001204,actor,1204,CONSENSUS,"Consensus Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1204, ""actor_source_type"": ""lupo_agent_registry""}"
9001205,actor,1205,DISSENT,"Dissent Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1205, ""actor_source_type"": ""lupo_agent_registry""}"
9001206,actor,1206,LITERAL,"Literal Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1206, ""actor_source_type"": ""lupo_agent_registry""}"
9001207,actor,1207,INTERPRET,"Interpretive Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1207, ""actor_source_type"": ""lupo_agent_registry""}"
9001208,actor,1208,PREDICT,"Predictive Agent",lupo_agent_registry,1,20260113092205,20260113092205,0,,1,0,"{""actor_source_id"": 1208, ""actor_source_type"": ""lupo_agent_registry""}"
